name,city center address,zip code,city center latitude,city center long
Oklahoma City,"Oklahoma City, Oklahoma County, Oklahoma, United States",73102,35.4729886,-97.5170536
Edmond,"Edmond, Oklahoma County, Oklahoma, United States",73034,35.6571367,-97.4649038
Norman,"Norman, Cleveland County, Oklahoma, United States",73069,35.2225717,-97.4394816
Spencer,"Spencer, Oklahoma County, Oklahoma, United States",73084,35.5228433,-97.3772618
Midwest Cty,"Midwest City, Oklahoma County, Oklahoma, United States",73110,35.4495097,-97.3967025
Del City,"Del City, Oklahoma County, Oklahoma, 73115, United States",73115,35.442007,-97.4408709
Yukon,"Yukon, Canadian County, Oklahoma, United States",73099,35.5067259,-97.7625386
Bethan,"Bethany, Oklahoma County, Oklahoma, United States",73008,35.5184275,-97.6325406
Moore,"Moore, Cleveland County, Oklahoma, 73160, United States",73160,35.3383254,-97.4867045
Newcastle,"Newcastle, McClain County, Oklahoma, 73065, United States",73065,35.2472869,-97.59976
Tulsa,"Tulsa, Tulsa County, Oklahoma, United States",74103,36.1563122,-95.9927516
Jenks,"Jenks, Tulsa County, Oklahoma, 74037, United States",74037,36.0228734,-95.9683278
Broken Arrow,"Broken Arrow, Tulsa County, Oklahoma, United States",74012,36.0525993,-95.7908195
Sand Springs,"Sand Springs, Tulsa County, Oklahoma, United States",74063,36.1394339,-96.1100025
Sapulpa,"Sapulpa, Creek County, Oklahoma, United States",74066,36.0005035,-96.1049612
Catoosa,"Catoosa, Rogers County, Oklahoma, 74015, United States",74015,36.188987,-95.745817
Owasso,"Owasso, Tulsa County, Oklahoma, 74055, United States",74055,36.2659698,-95.8548557
Ada,"Ada, Pontotoc County, Oklahoma, 74820, United States",74820,34.7743383,-96.6783651
Addington,"Addington, Jefferson County, Oklahoma, 73520, United States",73520,34.2445351,-97.9669797
Atoka,"Atoka, Atoka County, Oklahoma, 74525, United States",74525,34.3853763,-96.1286802
Anadarko,"Anadarko, Caddo County, Oklahoma, 73005, United States",73005,35.0725323,-98.243981
Apache,"Apache, Caddo County, Oklahoma, United States",73006,34.8936766,-98.3658875
Ardmore,"Ardmore, Carter County, Oklahoma, 73401, United States",73401,34.1729273,-97.1309119
Bokchito,"Bokchito, Bryan County, Oklahoma, 74726, United States",74726,34.0173184,-96.1427628
